Searching four MU bases: d=7, {I,B1,B2,B3}, 60 starts
  start 0: cost 2.302922e-01   (best 2.302922e-01)
  start 1: cost 1.971398e-01   (best 1.971398e-01)
  start 2: cost 1.658868e-01   (best 1.658868e-01)
  start 3: cost 1.997682e-01   (best 1.658868e-01)
  start 4: cost 1.945492e-01   (best 1.658868e-01)
  start 5: cost 1.819159e-01   (best 1.658868e-01)
  start 6: cost 1.983362e-01   (best 1.658868e-01)
  start 7: cost 1.588659e-01   (best 1.588659e-01)
  start 8: cost 2.422166e-01   (best 1.588659e-01)
  start 9: cost 1.694580e-01   (best 1.588659e-01)
  start 10: cost 2.354457e-01   (best 1.588659e-01)
  start 11: cost 2.252258e-01   (best 1.588659e-01)
  start 12: cost 1.681063e-01   (best 1.588659e-01)
  start 13: cost 1.896547e-01   (best 1.588659e-01)
  start 14: cost 1.776723e-01   (best 1.588659e-01)
  start 15: cost 1.991108e-01   (best 1.588659e-01)
  start 16: cost 1.989203e-01   (best 1.588659e-01)
  start 17: cost 1.891154e-01   (best 1.588659e-01)
  start 18: cost 1.783661e-01   (best 1.588659e-01)
  start 19: cost 1.873890e-01   (best 1.588659e-01)
  start 20: cost 1.783661e-01   (best 1.588659e-01)
  start 21: cost 2.039481e-01   (best 1.588659e-01)
  start 22: cost 2.302379e-01   (best 1.588659e-01)
  start 23: cost 2.031460e-01   (best 1.588659e-01)
  start 24: cost 1.939048e-01   (best 1.588659e-01)
  start 25: cost 2.442035e-01   (best 1.588659e-01)
  start 26: cost 2.075730e-01   (best 1.588659e-01)
  start 27: cost 1.589400e-01   (best 1.588659e-01)
  start 28: cost 2.094737e-01   (best 1.588659e-01)
  start 29: cost 2.017390e-01   (best 1.588659e-01)
  start 30: cost 2.033733e-01   (best 1.588659e-01)
  start 31: cost 2.298387e-01   (best 1.588659e-01)
  start 32: cost 2.092667e-01   (best 1.588659e-01)
  start 33: cost 2.077549e-01   (best 1.588659e-01)
  start 34: cost 1.781746e-01   (best 1.588659e-01)
  start 35: cost 1.880376e-01   (best 1.588659e-01)
  start 36: cost 1.927362e-01   (best 1.588659e-01)
  start 37: cost 2.034086e-01   (best 1.588659e-01)
  start 38: cost 1.891154e-01   (best 1.588659e-01)
  start 39: cost 1.890696e-01   (best 1.588659e-01)
  start 40: cost 2.350615e-01   (best 1.588659e-01)
  start 41: cost 1.931136e-01   (best 1.588659e-01)
  start 42: cost 1.918751e-01   (best 1.588659e-01)
  start 43: cost 1.931839e-01   (best 1.588659e-01)
  start 44: cost 1.785024e-01   (best 1.588659e-01)
  start 45: cost 1.935694e-01   (best 1.588659e-01)
  start 46: cost 1.860299e-01   (best 1.588659e-01)
  start 47: cost 2.024607e-01   (best 1.588659e-01)
  start 48: cost 1.937806e-01   (best 1.588659e-01)
  start 49: cost 2.221591e-01   (best 1.588659e-01)
  start 50: cost 2.007420e-01   (best 1.588659e-01)
  start 51: cost 1.939632e-01   (best 1.588659e-01)
  start 52: cost 1.967916e-01   (best 1.588659e-01)
  start 53: cost 1.948768e-01   (best 1.588659e-01)
  start 54: cost 1.937120e-01   (best 1.588659e-01)
  start 55: cost 1.933691e-01   (best 1.588659e-01)
  start 56: cost 2.144308e-01   (best 1.588659e-01)
  start 57: cost 1.957988e-01   (best 1.588659e-01)
  start 58: cost 1.757908e-01   (best 1.588659e-01)
  start 59: cost 2.090464e-01   (best 1.588659e-01)

best cost (0.5*sum residuals^2): 1.588659e-01
median cost over starts:          1.947130e-01
starts within 2x of best:         60/60
D-bar_4 of best solution (unitarized): 0.9914702
worst pairwise unbiasedness defect:    0.131811
(exact four MU bases would give D-bar_4 = 1, defect = 0;
 known numerical max in d=6 is D-bar_4 = 0.9982917)
