Searching four MU bases: d=7, {I,B1,B2,B3}, 400 starts
  start 0: cost 2.302922e-01   (best 2.302922e-01)
  start 1: cost 1.971398e-01   (best 1.971398e-01)
  start 2: cost 1.658868e-01   (best 1.658868e-01)
  start 3: cost 1.997682e-01   (best 1.658868e-01)
  start 4: cost 1.945492e-01   (best 1.658868e-01)
  start 5: cost 1.819159e-01   (best 1.658868e-01)
  start 6: cost 1.983362e-01   (best 1.658868e-01)
  start 7: cost 1.588659e-01   (best 1.588659e-01)
  start 8: cost 2.422166e-01   (best 1.588659e-01)
  start 9: cost 1.694580e-01   (best 1.588659e-01)
  start 10: cost 2.354457e-01   (best 1.588659e-01)
  start 11: cost 2.252258e-01   (best 1.588659e-01)
  start 12: cost 1.681063e-01   (best 1.588659e-01)
  start 13: cost 1.896547e-01   (best 1.588659e-01)
  start 14: cost 1.776723e-01   (best 1.588659e-01)
  start 15: cost 1.991108e-01   (best 1.588659e-01)
  start 16: cost 1.989203e-01   (best 1.588659e-01)
  start 17: cost 1.891154e-01   (best 1.588659e-01)
  start 18: cost 1.783661e-01   (best 1.588659e-01)
  start 19: cost 1.873890e-01   (best 1.588659e-01)
  start 20: cost 1.783661e-01   (best 1.588659e-01)
  start 21: cost 2.039481e-01   (best 1.588659e-01)
  start 22: cost 2.302379e-01   (best 1.588659e-01)
  start 23: cost 2.031460e-01   (best 1.588659e-01)
  start 24: cost 1.939048e-01   (best 1.588659e-01)
  start 25: cost 2.442035e-01   (best 1.588659e-01)
  start 26: cost 2.075730e-01   (best 1.588659e-01)
  start 27: cost 1.589400e-01   (best 1.588659e-01)
  start 28: cost 2.094737e-01   (best 1.588659e-01)
  start 29: cost 2.017390e-01   (best 1.588659e-01)
  start 30: cost 2.033733e-01   (best 1.588659e-01)
  start 31: cost 2.298387e-01   (best 1.588659e-01)
  start 32: cost 2.092667e-01   (best 1.588659e-01)
  start 33: cost 2.077549e-01   (best 1.588659e-01)
  start 34: cost 1.781746e-01   (best 1.588659e-01)
  start 35: cost 1.880376e-01   (best 1.588659e-01)
  start 36: cost 1.927362e-01   (best 1.588659e-01)
  start 37: cost 2.034086e-01   (best 1.588659e-01)
  start 38: cost 1.891154e-01   (best 1.588659e-01)
  start 39: cost 1.890696e-01   (best 1.588659e-01)
  start 40: cost 2.350615e-01   (best 1.588659e-01)
  start 41: cost 1.931136e-01   (best 1.588659e-01)
  start 42: cost 1.918751e-01   (best 1.588659e-01)
  start 43: cost 1.931839e-01   (best 1.588659e-01)
  start 44: cost 1.785024e-01   (best 1.588659e-01)
  start 45: cost 1.935694e-01   (best 1.588659e-01)
  start 46: cost 1.860299e-01   (best 1.588659e-01)
  start 47: cost 2.024607e-01   (best 1.588659e-01)
  start 48: cost 1.937806e-01   (best 1.588659e-01)
  start 49: cost 2.221591e-01   (best 1.588659e-01)
  start 50: cost 2.007420e-01   (best 1.588659e-01)
  start 51: cost 1.939632e-01   (best 1.588659e-01)
  start 52: cost 1.967916e-01   (best 1.588659e-01)
  start 53: cost 1.948768e-01   (best 1.588659e-01)
  start 54: cost 1.937120e-01   (best 1.588659e-01)
  start 55: cost 1.933691e-01   (best 1.588659e-01)
  start 56: cost 2.144308e-01   (best 1.588659e-01)
  start 57: cost 1.957988e-01   (best 1.588659e-01)
  start 58: cost 1.757908e-01   (best 1.588659e-01)
  start 59: cost 2.090464e-01   (best 1.588659e-01)
  start 60: cost 1.901946e-01   (best 1.588659e-01)
  start 61: cost 2.123287e-01   (best 1.588659e-01)
  start 62: cost 1.581875e-01   (best 1.581875e-01)
  start 63: cost 1.783661e-01   (best 1.581875e-01)
  start 64: cost 1.933691e-01   (best 1.581875e-01)
  start 65: cost 1.937667e-01   (best 1.581875e-01)
  start 66: cost 1.969308e-01   (best 1.581875e-01)
  start 67: cost 1.860299e-01   (best 1.581875e-01)
  start 68: cost 1.812783e-01   (best 1.581875e-01)
  start 69: cost 1.876629e-01   (best 1.581875e-01)
  start 70: cost 1.089666e-01   (best 1.089666e-01)
  start 71: cost 1.985088e-01   (best 1.089666e-01)
  start 72: cost 2.054865e-01   (best 1.089666e-01)
  start 73: cost 2.278283e-01   (best 1.089666e-01)
  start 74: cost 2.402177e-01   (best 1.089666e-01)
  start 75: cost 2.041360e-01   (best 1.089666e-01)
  start 76: cost 1.896547e-01   (best 1.089666e-01)
  start 77: cost 2.090354e-01   (best 1.089666e-01)
  start 78: cost 1.588659e-01   (best 1.089666e-01)
  start 79: cost 1.876629e-01   (best 1.089666e-01)
  start 80: cost 1.989734e-01   (best 1.089666e-01)
  start 81: cost 2.054015e-01   (best 1.089666e-01)
  start 82: cost 1.970579e-01   (best 1.089666e-01)
  start 83: cost 2.063233e-01   (best 1.089666e-01)
  start 84: cost 1.952479e-01   (best 1.089666e-01)
  start 85: cost 2.292817e-01   (best 1.089666e-01)
  start 86: cost 1.770064e-01   (best 1.089666e-01)
  start 87: cost 1.589400e-01   (best 1.089666e-01)
  start 88: cost 2.209841e-01   (best 1.089666e-01)
  start 89: cost 1.975603e-01   (best 1.089666e-01)
  start 90: cost 1.893540e-01   (best 1.089666e-01)
  start 91: cost 1.959364e-01   (best 1.089666e-01)
  start 92: cost 2.204023e-01   (best 1.089666e-01)
  start 93: cost 1.964245e-01   (best 1.089666e-01)
  start 94: cost 2.039695e-01   (best 1.089666e-01)
  start 95: cost 2.116197e-01   (best 1.089666e-01)
  start 96: cost 1.876629e-01   (best 1.089666e-01)
  start 97: cost 1.913904e-01   (best 1.089666e-01)
  start 98: cost 1.557687e-01   (best 1.089666e-01)
  start 99: cost 1.681063e-01   (best 1.089666e-01)
  start 100: cost 2.458461e-01   (best 1.089666e-01)
  start 101: cost 1.929261e-01   (best 1.089666e-01)
  start 102: cost 1.933329e-01   (best 1.089666e-01)
  start 103: cost 1.809764e-01   (best 1.089666e-01)
  start 104: cost 1.726589e-01   (best 1.089666e-01)
  start 105: cost 1.937408e-01   (best 1.089666e-01)
  start 106: cost 1.589400e-01   (best 1.089666e-01)
  start 107: cost 2.612915e-01   (best 1.089666e-01)
  start 108: cost 1.694580e-01   (best 1.089666e-01)
  start 109: cost 2.195347e-01   (best 1.089666e-01)
  start 110: cost 2.327695e-01   (best 1.089666e-01)
  start 111: cost 1.850440e-01   (best 1.089666e-01)
  start 112: cost 1.953734e-01   (best 1.089666e-01)
  start 113: cost 1.970579e-01   (best 1.089666e-01)
  start 114: cost 1.557687e-01   (best 1.089666e-01)
  start 115: cost 2.017135e-01   (best 1.089666e-01)
  start 116: cost 1.937667e-01   (best 1.089666e-01)
  start 117: cost 1.589400e-01   (best 1.089666e-01)
  start 118: cost 1.963650e-01   (best 1.089666e-01)
  start 119: cost 1.813214e-01   (best 1.089666e-01)
  start 120: cost 1.970579e-01   (best 1.089666e-01)
  start 121: cost 1.854897e-01   (best 1.089666e-01)
  start 122: cost 1.953487e-01   (best 1.089666e-01)
  start 123: cost 1.997682e-01   (best 1.089666e-01)
  start 124: cost 2.090931e-01   (best 1.089666e-01)
  start 125: cost 2.232566e-01   (best 1.089666e-01)
  start 126: cost 1.993803e-01   (best 1.089666e-01)
  start 127: cost 1.857372e-01   (best 1.089666e-01)
  start 128: cost 1.694580e-01   (best 1.089666e-01)
  start 129: cost 1.937667e-01   (best 1.089666e-01)
  start 130: cost 2.020050e-01   (best 1.089666e-01)
  start 131: cost 2.105405e-01   (best 1.089666e-01)
  start 132: cost 2.017465e-01   (best 1.089666e-01)
  start 133: cost 1.989734e-01   (best 1.089666e-01)
  start 134: cost 1.880376e-01   (best 1.089666e-01)
  start 135: cost 1.920867e-01   (best 1.089666e-01)
  start 136: cost 2.171957e-01   (best 1.089666e-01)
  start 137: cost 2.265899e-01   (best 1.089666e-01)
  start 138: cost 1.939048e-01   (best 1.089666e-01)
  start 139: cost 2.017135e-01   (best 1.089666e-01)
  start 140: cost 1.814935e-01   (best 1.089666e-01)
  start 141: cost 1.837056e-01   (best 1.089666e-01)
  start 142: cost 2.310220e-01   (best 1.089666e-01)
  start 143: cost 1.799202e-01   (best 1.089666e-01)
  start 144: cost 1.827088e-01   (best 1.089666e-01)
  start 145: cost 1.840393e-01   (best 1.089666e-01)
  start 146: cost 2.023234e-01   (best 1.089666e-01)
  start 147: cost 1.658868e-01   (best 1.089666e-01)
  start 148: cost 2.173680e-01   (best 1.089666e-01)
  start 149: cost 2.020050e-01   (best 1.089666e-01)
  start 150: cost 1.446461e-01   (best 1.089666e-01)
  start 151: cost 2.017135e-01   (best 1.089666e-01)
  start 152: cost 1.975395e-01   (best 1.089666e-01)
  start 153: cost 2.219131e-01   (best 1.089666e-01)
  start 154: cost 1.918751e-01   (best 1.089666e-01)
  start 155: cost 1.947462e-01   (best 1.089666e-01)
  start 156: cost 1.813214e-01   (best 1.089666e-01)
  start 157: cost 1.813214e-01   (best 1.089666e-01)
  start 158: cost 1.944793e-01   (best 1.089666e-01)
  start 159: cost 1.726589e-01   (best 1.089666e-01)
  start 160: cost 1.972144e-01   (best 1.089666e-01)
  start 161: cost 1.758151e-01   (best 1.089666e-01)
  start 162: cost 2.254775e-01   (best 1.089666e-01)
  start 163: cost 1.975468e-01   (best 1.089666e-01)
  start 164: cost 2.125772e-01   (best 1.089666e-01)
  start 165: cost 1.897147e-01   (best 1.089666e-01)
  start 166: cost 2.071857e-01   (best 1.089666e-01)
  start 167: cost 2.073384e-01   (best 1.089666e-01)
  start 168: cost 1.975468e-01   (best 1.089666e-01)
  start 169: cost 2.071857e-01   (best 1.089666e-01)
  start 170: cost 2.302379e-01   (best 1.089666e-01)
  start 171: cost 2.266735e-01   (best 1.089666e-01)
  start 172: cost 1.589400e-01   (best 1.089666e-01)
  start 173: cost 1.970314e-01   (best 1.089666e-01)
  start 174: cost 1.924206e-01   (best 1.089666e-01)
  start 175: cost 1.658868e-01   (best 1.089666e-01)
  start 176: cost 2.025927e-01   (best 1.089666e-01)
  start 177: cost 1.978053e-01   (best 1.089666e-01)
  start 178: cost 1.959364e-01   (best 1.089666e-01)
  start 179: cost 2.060919e-01   (best 1.089666e-01)
  start 180: cost 1.963650e-01   (best 1.089666e-01)
  start 181: cost 1.954839e-01   (best 1.089666e-01)
  start 182: cost 2.205059e-01   (best 1.089666e-01)
  start 183: cost 1.837056e-01   (best 1.089666e-01)
  start 184: cost 2.058349e-01   (best 1.089666e-01)
  start 185: cost 2.317919e-01   (best 1.089666e-01)
  start 186: cost 1.970542e-01   (best 1.089666e-01)
  start 187: cost 1.933689e-01   (best 1.089666e-01)
  start 188: cost 2.020622e-01   (best 1.089666e-01)
  start 189: cost 1.731656e-01   (best 1.089666e-01)
  start 190: cost 1.897111e-01   (best 1.089666e-01)
  start 191: cost 2.203609e-01   (best 1.089666e-01)
  start 192: cost 2.092437e-01   (best 1.089666e-01)
  start 193: cost 1.783661e-01   (best 1.089666e-01)
  start 194: cost 1.944919e-01   (best 1.089666e-01)
  start 195: cost 1.813214e-01   (best 1.089666e-01)
  start 196: cost 1.972872e-01   (best 1.089666e-01)
  start 197: cost 1.953795e-01   (best 1.089666e-01)
  start 198: cost 1.901946e-01   (best 1.089666e-01)
  start 199: cost 1.813214e-01   (best 1.089666e-01)
  start 200: cost 2.090232e-01   (best 1.089666e-01)
  start 201: cost 2.040575e-01   (best 1.089666e-01)
  start 202: cost 1.919384e-01   (best 1.089666e-01)
  start 203: cost 2.278493e-01   (best 1.089666e-01)
  start 204: cost 2.162955e-01   (best 1.089666e-01)
  start 205: cost 2.076200e-01   (best 1.089666e-01)
  start 206: cost 1.870058e-01   (best 1.089666e-01)
  start 207: cost 1.988939e-01   (best 1.089666e-01)
  start 208: cost 2.102725e-01   (best 1.089666e-01)
  start 209: cost 2.030728e-01   (best 1.089666e-01)
  start 210: cost 1.867616e-01   (best 1.089666e-01)
  start 211: cost 1.966491e-01   (best 1.089666e-01)
  start 212: cost 2.136731e-01   (best 1.089666e-01)
  start 213: cost 1.937120e-01   (best 1.089666e-01)
  start 214: cost 1.931136e-01   (best 1.089666e-01)
  start 215: cost 2.123287e-01   (best 1.089666e-01)
  start 216: cost 2.082347e-01   (best 1.089666e-01)
  start 217: cost 1.890696e-01   (best 1.089666e-01)
  start 218: cost 1.813214e-01   (best 1.089666e-01)
  start 219: cost 2.384615e-01   (best 1.089666e-01)
  start 220: cost 1.694580e-01   (best 1.089666e-01)
  start 221: cost 2.172388e-01   (best 1.089666e-01)
  start 222: cost 1.910327e-01   (best 1.089666e-01)
  start 223: cost 2.115495e-01   (best 1.089666e-01)
  start 224: cost 2.082347e-01   (best 1.089666e-01)
  start 225: cost 2.071372e-01   (best 1.089666e-01)
  start 226: cost 1.658868e-01   (best 1.089666e-01)
  start 227: cost 2.102725e-01   (best 1.089666e-01)
  start 228: cost 1.888319e-01   (best 1.089666e-01)
  start 229: cost 2.090354e-01   (best 1.089666e-01)
  start 230: cost 1.770064e-01   (best 1.089666e-01)
  start 231: cost 2.005351e-01   (best 1.089666e-01)
  start 232: cost 2.401476e-01   (best 1.089666e-01)
  start 233: cost 1.870058e-01   (best 1.089666e-01)
  start 234: cost 1.799202e-01   (best 1.089666e-01)
  start 235: cost 1.726589e-01   (best 1.089666e-01)
  start 236: cost 1.983362e-01   (best 1.089666e-01)
  start 237: cost 2.298828e-01   (best 1.089666e-01)
  start 238: cost 1.871327e-01   (best 1.089666e-01)
  start 239: cost 2.076488e-01   (best 1.089666e-01)
  start 240: cost 1.797048e-01   (best 1.089666e-01)
  start 241: cost 1.658868e-01   (best 1.089666e-01)
  start 242: cost 2.172739e-01   (best 1.089666e-01)
  start 243: cost 1.975468e-01   (best 1.089666e-01)
  start 244: cost 1.588659e-01   (best 1.089666e-01)
  start 245: cost 1.934421e-01   (best 1.089666e-01)
  start 246: cost 2.239516e-01   (best 1.089666e-01)
  start 247: cost 1.694580e-01   (best 1.089666e-01)
  start 248: cost 1.876629e-01   (best 1.089666e-01)
  start 249: cost 1.827088e-01   (best 1.089666e-01)
  start 250: cost 1.956963e-01   (best 1.089666e-01)
  start 251: cost 1.925039e-01   (best 1.089666e-01)
  start 252: cost 1.879171e-01   (best 1.089666e-01)
  start 253: cost 2.277925e-01   (best 1.089666e-01)
  start 254: cost 1.305130e-01   (best 1.089666e-01)
  start 255: cost 1.694580e-01   (best 1.089666e-01)
  start 256: cost 1.805332e-01   (best 1.089666e-01)
  start 257: cost 1.945522e-01   (best 1.089666e-01)
  start 258: cost 1.305130e-01   (best 1.089666e-01)
  start 259: cost 2.078920e-01   (best 1.089666e-01)
  start 260: cost 1.953487e-01   (best 1.089666e-01)
  start 261: cost 1.820267e-01   (best 1.089666e-01)
  start 262: cost 2.200517e-01   (best 1.089666e-01)
  start 263: cost 2.195347e-01   (best 1.089666e-01)
  start 264: cost 2.024271e-01   (best 1.089666e-01)
  start 265: cost 2.054319e-01   (best 1.089666e-01)
  start 266: cost 1.681063e-01   (best 1.089666e-01)
  start 267: cost 2.040575e-01   (best 1.089666e-01)
  start 268: cost 1.754365e-01   (best 1.089666e-01)
  start 269: cost 1.588659e-01   (best 1.089666e-01)
  start 270: cost 1.924206e-01   (best 1.089666e-01)
  start 271: cost 1.914373e-01   (best 1.089666e-01)
  start 272: cost 1.750629e-01   (best 1.089666e-01)
  start 273: cost 1.870058e-01   (best 1.089666e-01)
  start 274: cost 2.091491e-01   (best 1.089666e-01)
  start 275: cost 2.018742e-01   (best 1.089666e-01)
  start 276: cost 1.846604e-01   (best 1.089666e-01)
  start 277: cost 1.917801e-01   (best 1.089666e-01)
  start 278: cost 2.181180e-01   (best 1.089666e-01)
  start 279: cost 2.081490e-01   (best 1.089666e-01)
  start 280: cost 1.850440e-01   (best 1.089666e-01)
  start 281: cost 1.797048e-01   (best 1.089666e-01)
